left_path,right_path,left_class,right_class,distance,cross_label
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-160.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-nummular-197.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-86.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-148.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-border-1.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-versicolor-13.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-foot-dorsum-3.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-foot-webs-5.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-primary-lesion-40.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-versicolor-13.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-primary-lesion-7.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-versicolor-13.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-versicolor-180.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-versicolor-171.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-chronic-1.jpg,P:\SkinDiseaseDetection ML\Severe\desquamation-9.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-chronic-19.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-face-2.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-fingertips-91.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_89_eczema-fingertips-91.jpeg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-foot-68.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_21_eczema-nummular-153.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-foot-68.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_23_aug_21_eczema-nummular-153.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-hand-12.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_1030_eczema-hand-12.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-nummular-168.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-nummular-198.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-nummular-180.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_129_eczema-nummular-180.jpeg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-subacute-22.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_99_eczema-subacute-22.jpeg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-subacute-59.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-8.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-trunk-generalized-32.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_829_eczema-trunk-generalized-32.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-trunk-generalized-7.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_245_eczema-nummular-190.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\eczema-vulva-2.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_133_eczema-vulva-2.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\lichen-simplex-chronicus-12.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_240_lichen-simplex-chronicus-12.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\lichen-simplex-chronicus-137.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_240_lichen-simplex-chronicus-12.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-cystic-141.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_189_acne-cystic-141.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-cystic-141.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_80_acne-cystic-141.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-cystic-86.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_218_acne-cystic-86.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-pustular-47.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-33.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1151_eczema-asteatotic-50.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_572_eczema-asteatotic-31.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_204_eczema-asteatotic-54.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-8.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_316_eczema-foot-91.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-52.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_363_eczema-fingertips-111.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-52.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_44_eczema-arms-5.jpeg,P:\SkinDiseaseDetection ML\Severe\eczema-arms-5.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_662_eczema-asteatotic-44.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-body-162.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_70_eczema-nummular-153.jpeg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_25_aug_245_eczema-nummular-190.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_70_eczema-nummular-153.jpeg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_26_aug_245_eczema-nummular-190.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_76_eczema-nummular-183.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-versicolor-185.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_792_eczema-foot-91.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-52.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-asteatotic-30.jpeg,P:\SkinDiseaseDetection ML\Severe\tinea-body-133.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\neurotic-excoriations-46.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-132.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\neurotic-excoriations-46.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-versicolor-155.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\parasitosis-psychogenic-4.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_175__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\prurigo-nodularis-14.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_21_eczema-nummular-153.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\prurigo-nodularis-14.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_23_aug_21_eczema-nummular-153.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-161.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-subacute-70.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Moderate\tinea-hand-dorsum-14.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-foot-dorsum-7.jpg,Moderate,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\eczema-fingertips-35.jpg,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_80_eczema-fingertips-35.jpeg,Mild,Mild,0,False
P:\SkinDiseaseDetection ML\Mild\eczema-trunk-generalized-9.jpg,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_25_aug_284_eczema-trunk-generalized-9.jpg,Mild,Mild,0,False
P:\SkinDiseaseDetection ML\Mild\mendeley_07Acne081101.jpg,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_251_acne-cystic-12.jpg,Mild,Mild,0,False
P:\SkinDiseaseDetection ML\Mild\mendeley_182.JPG,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_218_182.JPG,Mild,Mild,0,False
P:\SkinDiseaseDetection ML\Mild\mendeley_32.jpg,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_174_32.jpg,Mild,Mild,0,False
P:\SkinDiseaseDetection ML\Mild\mendeley_acne-205-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,P:\SkinDiseaseDetection ML\Mild\mendeley_aug_171_acne-205-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,Mild,Mild,0,False
